keys,en,es
MENU_TITLE,MemeWave AI,MemeWave AI
MENU_SUBTITLE,"AI meme microgames about tokens, model wars, and egos with intentionally bad drawings.","Microjuegos meme de IA sobre tokens, guerra de modelos y egos con dibujos mal hechos a propósito."
MENU_START,START,EMPEZAR
MENU_DESCRIPTIONS,DESCRIPTIONS,DESCRIPCIONES
MENU_COLLECTION,MINIGAMES,MINIJUEGOS
MENU_QUIT,QUIT,SALIR
MENU_BACK,BACK,VOLVER
MENU_NOTE,MVP: 5 rounds of a few seconds.,MVP: 5 rondas de unos segundos.
MENU_LANGUAGE,Language,Idioma
MENU_VOLUME,Volume,Volumen
DESCRIPTIONS_TITLE,What each microgame is trying to say,Qué intenta transmitir cada microjuego
HUD_ROUND,Round %d/%d,Ronda %d/%d
COUNTDOWN_GO,GO!,HAZLO!
SUMMARY_TITLE,Run summary,Resumen de la tanda
SUMMARY_WINS,Wins: %d/%d,Victorias: %d/%d
SUMMARY_POINTS,Meme score: %d,Puntuación meme: %d
SUMMARY_NOTE,"Minimum viable product ready: next we iterate jokes, difficulty, and art.","Producto mínimo viable listo: ahora toca iterar chistes, dificultad y arte."
SUMMARY_AGAIN,ANOTHER RUN,OTRA TANDA
SUMMARY_MENU,MENU,MENU
GAME_REPO_TITLE,Private Repo,Repo Privado
GAME_REPO_DESC,"Sam asks you to close public repos and make them private. It memes the contradiction between saying OpenAI and closing code.","Sam te pide cerrar repos publicos y hacerlos privados. Intenta transmitir la contradicción meme entre llamarse OpenAI y cerrar código."
REPO_INSTRUCTIONS,Sam wants the repos private. Close them before Elon arrives.,Sam quiere los repos privados. Ciérralos antes de que llegue Elon.
REPO_STATUS,Repos privatized: %d/%d,Repos privatizados: %d/%d
REPO_SAM_SPEECH,"Sam: close these repos.","Sam: cierra estos repos."
REPO_ELON_SPEECH,Elon: this is not open anymore!,Elon: esto ya no es open!
REPO_SUCCESS,THIS IS NOT OPEN ANYMORE!,ESTO YA NO ES OPEN!
REPO_FAIL,THE REPO IS STILL OPEN,EL REPO SIGUE ABIERTO
GAME_TOKENS_TITLE,Cool Ollama,Sopla la GPU
